"id","sentiment"
"0_10",0.59760111168
"0_2",0.462005412126
"10000_4",0.459153075404
"10000_7",0.710158706941
"10001_1",0.44818254955
"10001_9",0.576830249397
"10002_3",0.542236524537
"10002_8",0.587142543699
"10003_3",0.567176186645
"10003_8",0.642945951876
"10004_2",0.515249030937
"10004_9",0.671688729613
"10005_2",0.557010166021
"10005_8",0.607767132305
"10006_2",0.437285160535
"10006_7",0.57054048124
"10007_10",0.604256564031
"10007_4",0.490089958312
"10008_4",0.544503766547
"10008_8",0.730783295546
"10009_10",0.637533825788
"10009_3",0.509836904849
"1000_3",0.500841073649
"1000_9",0.571418123309
"10010_2",0.562787976304
"10010_9",0.666788561398
"10011_1",0.5044979156
"10011_9",0.61859138448
"10012_1",0.403788488262
"10012_9",0.570394207562
"10013_4",0.530534630293
"10013_9",0.617421195056
"10014_2",0.530315219776
"10014_7",0.583412564909
"10015_4",0.563373071016
"10015_8",0.604037153514
"10016_3",0.502523220946
"10016_8",0.646602793827
"10017_1",0.548160608499
"10017_8",0.586996270021
"10018_1",0.553572734586
"10018_8",0.565201491992
"10019_1",0.410370803774
"10019_8",0.62458860528
"1001_10",0.657573319681
"1001_4",0.48270313757
"10020_1",0.418050171872
"10020_8",0.594529364441
"10021_3",0.498427557961
"10021_9",0.582900607036
"10022_10",0.6441161413
"10022_4",0.432750676516
"10023_4",0.558984860674
"10023_8",0.589702333065
"10024_3",0.402910846193
"10024_9",0.533825788049
"10025_2",0.412418635267
"10025_8",0.621663131719
"10026_10",0.739632853068
"10026_3",0.513786294156
"10027_1",0.50223067359
"10027_8",0.549842755796
"10028_10",0.639581657281
"10028_3",0.486945074234
"10029_1",0.326263438894
"10029_10",0.635705404812
"1002_3",0.517369999269
"1002_9",0.571418123309
"10030_3",0.4805090324
"10030_7",0.617567468734
"10031_2",0.473414759014
"10031_8",0.546917282235
"10032_1",0.43618810795
"10032_8",0.623345279017
"10033_1",0.473341622175
"10033_8",0.589702333065
"10034_1",0.45571564397
"10034_9",0.629342499817
"10035_1",0.482118042858
"10035_10",0.595699553865
"10036_1",0.477802969356
"10036_10",0.632926204929
"10037_1",0.534995977474
"10037_7",0.675199297886
"10038_4",0.42492503474
"10038_7",0.513786294156
"10039_1",0.41666057193
"10039_8",0.55181745045
"1003_4",0.570247933884
"1003_8",0.593724859212
"10040_10",0.610253784831
"10040_2",0.537116945806
"10041_1",0.256637168142
"10041_8",0.568931470782
"10042_1",0.482483727053
"10042_8",0.601623637826
"10043_1",0.539530461493
"10043_10",0.669128940247
"10044_2",0.502011263073
"10044_8",0.623199005339
"10045_1",0.478534337746
"10045_7",0.618152563446
"10046_10",0.557960944928
"10046_4",0.544869450742
"10047_1",0.456154465004
"10047_10",0.653697067213
"10048_1",0.484165874351
"10048_8",0.614056900461
"10049_1",0.471074380165
"10049_8",0.62985445769
"1004_10",0.82059533387
"1004_4",0.551524903094
"10050_4",0.598186206392
"10050_8",0.615519637241
"10051_2",0.525927009435
"10051_8",0.671030498062
"10052_4",0.39940027792
"10052_7",0.640532436188
"10053_10",0.641336941417
"10053_4",0.573465954801
"10054_3",0.562202881591
"10054_7",0.646237109632
"10055_1",0.515175894098
"10055_10",0.607108900753
"10056_1",0.53528852483
"10056_8",0.610034374314
"10057_1",0.503912820888
"10057_8",0.625831931544
"10058_2",0.558911723835
"10058_8",0.606889490236
"10059_1",0.507642799678
"10059_10",0.58034081767
"1005_2",0.495940905434
"1005_7",0.558765450157
"10060_10",0.611716521612
"10060_3",0.482191179697
"10061_10",0.598625027426
"10061_4",0.537116945806
"10062_4",0.505009873473
"10062_9",0.540188693045
"10063_1",0.508008483873
"10063_10",0.595699553865
"10064_10",0.595114459153
"10064_2",0.550062166313
"10065_1",0.473341622175
"10065_8",0.646675930666
"10066_1",0.558838586996
